IDADE;TAME;ANO;FUNC;DFR1;DFR2;DFR3;DHR1;DHR2;DRH3;SGS1;SGS2;SGS3;SGS4;GCA1;GCA2;GCA3;AFR1;AFR2;AFR3;AFR4;CI1;CI2;CI3;CC1;CC2;CC3;CC4;CC5;MM1;MM2;MM3;MM4;APD1;APD2;APD3;APD4;GR1;GR2;GR3;GR4;CP1;CP2;CP3;CE1;CE2;CE3;DR1;DR2
1;1;2;5;4;4;4;4;4;5;5;5;4;4;5;5;4;5;4;4;4;5;5;5;5;5;4;4;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;3;3
3;5;2;3;4;4;4;4;4;4;4;4;2;2;4;4;4;2;4;4;2;4;2;5;4;5;2;4;4;5;5;4;4;5;5;5;5;2;5;5;4;5;4;4;5;4;4;3;3
5;1;2;5;3;3;4;3;2;4;3;4;3;2;4;3;2;5;3;3;3;5;4;4;4;2;3;4;2;1;4;3;4;3;3;3;3;4;1;4;3;3;4;4;3;2;2;2;2
5;5;3;3;5;4;5;5;4;4;4;4;4;5;5;4;4;5;4;4;4;4;5;5;4;4;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;4;4;1;3
5;5;3;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5
5;5;3;3;1;1;5;5;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;3;4;2;3;4;4;4;4;3;5;4
5;5;5;1;5;4;5;5;5;5;5;5;4;5;5;4;5;5;4;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4;5;4;5;5;3
5;5;2;1;3;2;2;5;5;5;5;4;3;2;3;4;5;5;4;4;4;5;3;5;4;5;4;3;3;5;5;5;5;4;4;5;5;5;4;3;5;4;5;2;1;3;1;5;3
2;3;3;5;1;1;1;4;3;4;3;4;2;4;2;4;2;4;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;4;4;4;2;3;4;4;4;4;4;4;4;5;4
1;1;2;3;2;4;4;4;4;4;4;4;2;2;4;4;4;5;4;2;4;5;5;5;4;5;5;5;4;5;4;5;3;5;5;5;5;5;5;5;5;4;4;4;5;4;5;2;4
1;1;2;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;2
3;5;2;5;5;4;5;5;4;2;4;4;2;4;3;5;5;4;5;5;2;4;5;5;4;4;3;4;4;4;5;5;5;4;4;5;5;4;5;5;4;5;5;5;5;4;3;5;4
1;1;1;5;4;4;5;4;4;5;5;5;4;4;5;5;5;5;1;2;4;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5
2;1;1;3;3;5;3;5;4;5;5;5;4;5;5;4;4;5;5;4;4;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;4;5;3;3;3;4;1;2
3;1;2;3;2;4;1;4;4;2;4;4;2;4;5;4;4;2;3;5;1;4;5;5;5;4;4;5;2;5;5;4;2;4;5;5;4;2;4;5;4;4;3;2;5;4;2;2;3
5;5;2;4;3;4;4;5;4;4;4;2;2;2;4;4;4;4;4;4;4;5;5;4;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;4;2;5
1;1;1;3;3;3;2;4;5;5;4;3;2;3;3;2;3;5;5;3;5;4;3;4;3;4;4;4;5;4;4;3;5;5;5;5;3;4;5;3;5;4;2;3;3;3;3;2;2
5;5;2;3;3;3;4;4;5;4;4;5;4;4;4;4;4;3;3;4;4;5;5;4;3;4;4;4;3;5;4;3;4;3;4;4;4;5;3;3;4;4;4;4;4;4;4;1;1
4;5;2;1;1;3;3;3;4;2;2;1;1;1;2;2;2;5;2;3;4;1;5;2;2;2;2;3;4;4;5;4;3;4;5;3;3;5;4;4;4;4;4;4;3;3;4;1;2
2;5;2;5;5;4;4;4;2;5;5;5;2;4;5;5;5;5;2;4;4;5;5;5;4;5;1;2;4;5;5;5;5;3;5;4;4;5;4;5;4;1;1;1;4;1;4;5;3
5;5;1;5;4;4;4;4;4;5;5;5;4;3;4;5;4;5;4;3;5;5;5;5;3;5;5;4;5;4;5;4;5;4;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5
3;5;3;2;4;4;4;4;5;5;5;5;5;5;5;4;4;5;4;4;5;5;5;5;4;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4
1;1;2;5;4;4;5;3;5;5;5;5;3;5;5;5;5;5;4;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3;4;4;4;3;3;1;1
5;2;3;4;4;4;4;4;5;4;4;4;2;4;4;4;4;4;4;4;4;4;2;4;5;4;2;4;4;4;2;4;4;2;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4
1;1;1;5;4;4;4;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;3;3;3;3;4;4;2;1
1;5;2;1;3;1;3;1;1;1;1;1;2;3;2;3;1;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;5;4;4;4;5;5;5;5;5;1;1
5;5;2;2;3;4;2;4;5;4;5;5;4;5;5;5;5;3;4;4;3;4;5;5;4;3;5;4;3;4;5;5;5;5;4;4;3;1;3;4;5;4;5;1;4;4;5;5;2
3;1;2;3;4;4;4;4;4;5;4;4;4;2;5;4;4;2;2;2;4;5;5;5;4;5;5;5;5;5;5;4;4;4;5;5;5;5;4;5;5;3;3;3;4;3;3;3;3
4;1;2;1;4;3;4;4;5;4;5;4;3;4;4;5;3;3;4;2;3;3;4;5;4;2;5;4;3;5;4;4;4;5;4;4;5;5;5;5;4;5;4;4;4;4;3;5;4
4;4;3;5;2;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;5;2;3;2;2;2;2;2;2;2;1;1;1;3;2;2;2;2;1;1;1;1;1;1;1;1;1
1;1;1;5;5;4;3;3;2;2;4;4;2;2;3;4;4;5;5;4;4;5;5;5;5;5;5;4;4;5;5;5;4;4;4;4;3;3;2;3;3;1;1;1;1;2;3;3;4
5;2;1;1;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4
2;5;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;5;5;5;5;5;4;5;5;4;5;4;5;5;4;4;5;4;5;4;4;3
2;5;1;1;3;2;1;4;4;4;1;1;1;1;2;3;3;4;4;1;4;4;1;2;1;2;5;3;5;3;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;3;2;5;4
1;3;2;1;5;3;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;4;3;3;4;4;3;3;3;3;3;4;5;5
3;5;2;5;5;5;5;5;5;4;4;5;4;5;4;4;3;4;2;3;3;3;3;3;4;4;2;4;2;3;3;4;5;3;3;4;3;3;4;4;3;4;4;3;3;4;4;3;3
3;1;1;5;3;3;3;3;4;4;4;4;3;3;4;3;3;4;3;3;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;4;4;4;4;3;4;3;4;3;4;4;4;2;2
5;1;3;5;4;4;5;5;3;4;3;5;4;4;4;5;3;5;3;3;5;5;5;5;3;3;5;5;3;5;5;5;5;5;5;5;5;5;3;5;5;3;3;3;5;3;5;2;5
1;2;2;3;3;1;1;4;5;5;4;5;2;2;4;3;3;4;4;4;5;4;5;5;4;2;4;1;1;5;5;4;5;5;5;5;5;3;1;2;5;5;3;1;1;1;1;1;1
2;1;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3
3;1;2;4;2;2;4;5;4;2;4;4;2;4;1;1;4;2;5;4;4;4;5;5;4;2;2;2;2;5;5;5;5;2;5;4;5;4;3;2;4;4;4;4;4;1;2;1;2
5;5;2;2;5;4;4;5;4;4;4;2;2;2;4;4;4;5;4;4;4;4;4;4;4;2;2;4;4;2;4;4;4;2;2;4;2;4;2;4;4;5;5;5;5;5;5;5;2
5;2;3;5;4;3;4;4;3;3;4;4;2;2;2;3;2;4;2;2;4;4;4;3;4;4;4;3;3;2;5;3;4;4;3;3;2;3;4;3;2;1;2;1;2;2;3;3;3
3;2;2;5;2;2;2;2;1;4;1;1;1;1;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;5;5;4;2;4;4;4;5;4;2;2;2;4;4;4;2;4;2;2
1;1;1;2;1;5;5;5;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1
5;5;5;2;5;5;4;4;2;4;4;5;4;4;2;1;4;4;5;2;2;4;4;5;5;2;5;2;5;5;5;5;5;4;2;5;5;4;5;2;5;1;1;2;2;1;2;3;2
5;5;2;1;5;4;4;4;2;4;5;5;4;5;4;5;5;4;5;5;5;5;3;5;5;5;4;4;5;5;4;3;2;4;4;5;5;4;5;5;5;5;4;5;3;4;5;5;2
2;3;1;1;4;4;5;4;4;4;4;5;4;4;5;5;4;4;1;1;1;5;5;5;4;4;4;4;4;5;4;4;4;1;4;5;5;4;3;4;4;4;4;2;2;3;4;3;5
3;5;2;2;5;4;3;4;4;4;4;4;2;4;4;4;4;3;3;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;5;4;4;4;2;4
5;5;3;1;5;4;4;4;4;4;3;4;4;4;4;4;4;3;2;2;3;4;4;4;5;5;4;4;3;5;3;3;5;4;3;4;4;4;4;3;4;3;4;4;4;3;4;3;3
2;5;2;3;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;1;1
3;4;2;5;4;4;4;4;4;4;4;5;2;2;2;2;2;4;2;3;3;3;3;3;3;3;2;3;3;3;2;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
5;5;2;1;1;2;3;4;4;5;4;4;2;3;4;4;4;4;4;3;4;5;4;4;3;4;5;4;3;4;4;4;1;3;3;3;4;4;4;4;4;4;4;4;4;4;4;1;1
5;5;2;2;5;5;4;4;5;5;4;5;4;5;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;5;5;5;4;5;4;4;4;4;4;4;3;2;2;2;1;1;3;2
1;5;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3
5;5;2;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
3;2;2;1;4;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;5;4;5;5;4;4;4;4;5;4;3;4;4;4;4;4;4;4;5;5
5;5;3;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5
1;1;1;1;2;1;4;3;4;3;4;5;4;3;3;4;4;4;4;5;4;5;4;3;4;3;4;4;4;3;5;3;4;4;5;3;4;4;4;5;3;3;3;4;4;5;4;5;4
5;5;3;3;4;2;2;4;4;2;4;4;4;2;5;4;5;5;2;2;4;4;4;3;5;5;5;2;2;5;5;3;5;5;5;3;3;3;5;5;5;5;2;1;1;1;1;5;2
3;3;2;5;2;2;2;2;5;4;5;5;5;5;4;4;4;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;4;4;4;4;5;5;5;5
1;1;2;1;1;4;5;2;5;5;5;5;3;3;2;3;3;3;3;2;2;2;4;4;4;3;3;3;3;5;4;3;3;3;5;3;2;2;3;3;4;4;4;2;3;3;3;2;2
4;5;3;1;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;3;2;4;3;3;3;3;3;3;3;3;3;2;4;1;1
2;2;1;3;3;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;3;3;3;3;3;4;4;4;4;3;4;3;4;4;3;3;2;2;2;2;2;2;2;2;2
5;1;3;5;1;1;1;2;4;4;2;4;3;1;4;4;4;4;4;4;4;4;5;5;4;4;5;5;5;5;5;5;4;5;5;5;5;4;4;5;5;5;1;4;1;1;1;1;1
2;1;3;5;3;3;4;4;4;5;3;4;4;5;2;2;3;4;3;3;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;4;4;5;5;4;3;2;3;2;2;1;5
5;5;1;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;5;4;4;5;4;5;5;5;5;5;4;5;5;4;5;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5
5;5;2;5;5;4;4;5;4;3;5;5;5;5;4;3;4;4;4;3;5;5;4;5;5;4;4;4;3;4;4;2;3;2;4;4;5;5;4;3;4;4;5;4;5;4;4;5;2
5;5;4;1;3;5;5;5;5;5;5;5;4;4;4;4;4;4;3;3;4;4;4;4;3;3;3;4;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;2
